date,gpdm,gpmc
20130104,000409.SZ,ST泰复
20130403,000409.SZ,泰复实业
20131226,000409.SZ,山东地矿
20180725,000409.SZ,*ST地矿
20190926,000409.SZ,ST地矿
20130104,000422.SZ,湖北宜化
20180424,000422.SZ,*ST宜化
20190426,000422.SZ,ST宜化
20130104,000571.SZ,新大洲Ａ
20190416,000571.SZ,ST大洲
20190430,000571.SZ,*ST大洲
20130104,000585.SZ,*ST东电
20130419,000585.SZ,东北电气
20190821,000585.SZ,ST东电
20130218,000670.SZ,*ST天发
20130520,000670.SZ,舜元
20140715,000670.SZ,舜元实业
20140819,000670.SZ,盈方微
20160503,000670.SZ,*ST盈方
20190327,000670.SZ,ST盈方
20130104,000707.SZ,双环科技
20180502,000707.SZ,*ST双环
20190426,000707.SZ,ST双环
20130104,000737.SZ,南风化工
20180214,000737.SZ,*ST南风
20190418,000737.SZ,ST南风
20130104,000752.SZ,西藏发展
20190410,000752.SZ,ST西发
20190506,000752.SZ,*ST西发
20130104,000806.SZ,*ST银河
20130503,000806.SZ,银河投资
20151029,000806.SZ,银河生物
20190329,000806.SZ,ST银河
20130104,000816.SZ,江淮动力
20150608,000816.SZ,智慧农业
20180427,000816.SZ,*ST慧业
20190710,000816.SZ,ST慧业
20130502,000820.SZ,*ST金城
20130619,000820.SZ,金城股份
20161219,000820.SZ,神雾节能
20190412,000820.SZ,ST节能
20190506,000820.SZ,*ST节能
20130104,000971.SZ,ST迈亚
20130418,000971.SZ,湖北迈亚
20130422,000971.SZ,蓝鼎控股
20151113,000971.SZ,高升控股
20190328,000971.SZ,ST高升
20190430,000971.SZ,*ST高升
20130104,000981.SZ,银亿股份
20190506,000981.SZ,ST银亿
20130104,002086.SZ,东方海洋
20190218,002086.SZ,ST东海洋
20130104,002143.SZ,高金食品
20150116,002143.SZ,印纪传媒
20190408,002143.SZ,ST印纪
20190430,002143.SZ,*ST印纪
20130104,002220.SZ,天宝股份
20170815,002220.SZ,天宝食品
20190528,002220.SZ,ST天宝
20130104,002306.SZ,湘鄂情
20140826,002306.SZ,中科云网
20150430,002306.SZ,*ST云网
20190801,002306.SZ,ST云网
20130104,002450.SZ,康得新
20190123,002450.SZ,ST康得新
20190506,002450.SZ,*ST康得
20130104,002586.SZ,围海股份
20190529,002586.SZ,ST围海
20130104,002692.SZ,远程电缆
20170216,002692.SZ,睿康股份
20190122,002692.SZ,远程股份
20190604,002692.SZ,ST远程
20140127,002711.SZ,欧浦钢网
20150819,002711.SZ,欧浦智网
20190424,002711.SZ,ST欧浦
20190506,002711.SZ,*ST欧浦
20140128,002716.SZ,金贵银业
20191009,002716.SZ,ST金贵
20130104,600112.SH,长征电气
20131224,600112.SH,天成控股
20170427,600112.SH,*ST天成
20190524,600112.SH,ST天成
20130104,600179.SH,黑化股份
20160311,600179.SH,ST黑化
20160503,600179.SH,*ST黑化
20161117,600179.SH,安通控股
20190619,600179.SH,ST安通
20130104,600193.SH,创兴资源
20180503,600193.SH,*ST创兴
20190328,600193.SH,ST创兴
20130104,600209.SH,罗顿发展
20180424,600209.SH,*ST罗顿
20190507,600209.SH,ST罗顿
20130104,600238.SH,海南椰岛
20180426,600238.SH,*ST椰岛
20190426,600238.SH,ST椰岛
20130104,600321.SH,国栋建设
20171016,600321.SH,正源股份
20180412,600321.SH,*ST正源
20190401,600321.SH,ST正源
20130104,600399.SH,抚顺特钢
20180903,600399.SH,*ST抚钢
20190408,600399.SH,ST抚钢
20130104,600408.SH,安泰集团
20150504,600408.SH,*ST安泰
20190328,600408.SH,ST安泰
20130104,600462.SH,*ST石岘
20130408,600462.SH,石岘纸业
20160524,600462.SH,九有股份
20190115,600462.SH,ST九有
20190506,600462.SH,*ST九有
20130104,600518.SH,康美药业
20190521,600518.SH,ST康美
20130104,600615.SH,丰华股份
20190429,600615.SH,ST丰华
20130104,600687.SH,刚泰控股
20190412,600687.SH,ST刚泰
20190506,600687.SH,*ST刚泰
20130104,600781.SH,上海辅仁
20140402,600781.SH,辅仁药业
20190903,600781.SH,ST辅仁
20130104,600807.SH,天业股份
20180503,600807.SH,*ST天业
20190423,600807.SH,ST天业
20130104,600856.SH,长百集团
20151124,600856.SH,中天能源
20190812,600856.SH,ST中天
20130104,600891.SH,秋林集团
20190410,600891.SH,ST秋林
20190506,600891.SH,*ST秋林
20130104,601113.SH,华鼎锦纶
20140103,601113.SH,华鼎股份
20191009,601113.SH,ST华鼎
20130104,601798.SH,蓝科高新
20180425,601798.SH,*ST蓝科
20190424,601798.SH,ST蓝科
20190108,601975.SH,ST长油
20190329,601975.SH,长航油运
20190426,601975.SH,招商南油
20180917,603810.SH,丰山集团
20190716,603810.SH,ST丰山
20151222,603996.SH,中新科技
20190529,603996.SH,ST中新
