date,gpdm,gpmc
20190102,000571.SZ,新大洲Ａ
20190102,000670.SZ,盈方微
20190102,000752.SZ,西藏发展
20190102,000806.SZ,银河生物
20190102,000820.SZ,神雾节能
20190102,000971.SZ,高升控股
20190102,000981.SZ,银亿股份
20190102,002086.SZ,东方海洋
20190102,002113.SZ,天润数娱
20190102,002143.SZ,印纪传媒
20190102,002220.SZ,天宝食品
20190102,002450.SZ,康得新
20190102,002586.SZ,围海股份
20190122,002692.SZ,远程股份
20190102,002711.SZ,欧浦智网
20190102,002716.SZ,金贵银业
20190102,600112.SH,天成控股
20190102,600179.SH,安通控股
20190102,600462.SH,九有股份
20190102,600518.SH,康美药业
20190102,600615.SH,丰华股份
20190102,600687.SH,刚泰控股
20190102,600781.SH,辅仁药业
20190102,600856.SH,中天能源
20190102,600891.SH,秋林集团
20190102,601113.SH,华鼎股份
20190102,603188.SH,亚邦股份
20190102,603810.SH,丰山集团
20190102,603996.SH,中新科技
