date,gpdm,gpmc
20140102,000001.SZ,平安银行
20140102,600141.SH,兴发集团
20140102,600143.SH,金发科技
20140102,600145.SH,国创能源
20140102,600146.SH,大元股份
20140102,600148.SH,长春一东
20140102,600149.SH,廊坊发展
20140102,600150.SH,中国船舶
20140102,600151.SH,航天机电
20140102,600152.SH,维科精华
20140102,600153.SH,建发股份
20140102,600155.SH,*ST宝硕
20140102,600156.SH,华升股份
20140102,600157.SH,永泰能源
20140102,600158.SH,中体产业
20140102,600159.SH,大龙地产
20140102,600139.SH,西部资源
20140102,600160.SH,巨化股份
20140102,600138.SH,中青旅
20140102,600136.SH,道博股份
20140102,600119.SH,长江投资
20140102,600120.SH,浙江东方
20140102,600121.SH,郑州煤电
20140102,600122.SH,宏图高科
20140102,600123.SH,兰花科创
20140102,600125.SH,铁龙物流
20140102,600126.SH,杭钢股份
20140102,600127.SH,金健米业
20140102,600128.SH,弘业股份
20140102,600129.SH,太极集团
20140102,600130.SH,波导股份
20140102,600131.SH,岷江水电
20140102,600132.SH,重庆啤酒
20140102,600133.SH,东湖高新
20140102,600135.SH,乐凯胶片
20140102,600137.SH,浪莎股份
20140102,600161.SH,天坛生物
20140102,600162.SH,香江控股
20140102,600163.SH,福建南纸
20140102,600187.SH,国中水务
20140102,600188.SH,兖州煤业
20140102,600189.SH,吉林森工
20140102,600190.SH,锦州港
20140102,600191.SH,华资实业
20140102,600192.SH,长城电工
20140102,600193.SH,创兴资源
20140102,600195.SH,中牧股份
20140102,600196.SH,复星医药
20140102,600197.SH,伊力特
20140102,600198.SH,大唐电信
20140102,600199.SH,金种子酒
20140102,600200.SH,江苏吴中
20140102,600201.SH,金宇集团
20140102,600202.SH,哈空调
20140102,600186.SH,莲花味精
20140102,600185.SH,格力地产
20140102,600184.SH,光电股份
20140102,600183.SH,生益科技
20140102,600165.SH,新日恒力
20140102,600166.SH,福田汽车
20140102,600167.SH,联美控股
20140102,600168.SH,武汉控股
20140102,600169.SH,太原重工
20140102,600170.SH,上海建工
20140102,600171.SH,上海贝岭
20140102,600118.SH,中国卫星
20140102,600172.SH,黄河旋风
20140102,600175.SH,美都控股
20140102,600176.SH,中国玻纤
20140102,600177.SH,雅戈尔
20140102,600178.SH,东安动力
20140102,600179.SH,黑化股份
20140102,600180.SH,瑞茂通
20140102,600182.SH,佳通轮胎
20140102,600173.SH,卧龙地产
20140102,600203.SH,福日电子
20140102,600117.SH,西宁特钢
20140102,600115.SH,东方航空
20140102,600057.SH,象屿股份
20140102,600058.SH,五矿发展
20140102,600059.SH,古越龙山
20140102,600060.SH,海信电器
20140102,600061.SH,中纺投资
20140102,600062.SH,华润双鹤
20140102,600063.SH,皖维高新
20140102,600064.SH,南京高科
20140102,600066.SH,宇通客车
20140102,600067.SH,冠城大通
20140102,600068.SH,葛洲坝
20140102,600069.SH,银鸽投资
20140102,600070.SH,浙江富润
20140102,600071.SH,凤凰光学
20140102,600072.SH,中船股份
20140102,600056.SH,中国医药
20140102,600073.SH,上海梅林
20140102,600055.SH,华润万东
20140102,600053.SH,中江地产
20140102,600027.SH,华电国际
20140102,600028.SH,中国石化
20140102,600029.SH,南方航空
20140102,600030.SH,中信证券
20140102,600031.SH,三一重工
20140102,600033.SH,福建高速
20140102,600035.SH,楚天高速
20140102,600036.SH,招商银行
20140102,600037.SH,歌华有线
20140102,600038.SH,哈飞股份
20140102,600039.SH,四川路桥
20140102,600048.SH,保利地产
20140102,600050.SH,中国联通
20140102,600051.SH,宁波联合
20140102,600052.SH,浙江广厦
