date,gpdm,gpmc
20190102,600301.SH,ST南化
20190102,600289.SH,*ST信通
20190102,600265.SH,ST景谷
20190102,600275.SH,ST昌鱼
20190102,600321.SH,*ST正源
20190102,600145.SH,*ST新亿
20190102,600150.SH,*ST船舶
20190102,600149.SH,ST坊展
20190102,600193.SH,*ST创兴
20190102,600234.SH,ST山水
20190102,600238.SH,*ST椰岛
20190102,600228.SH,ST昌九
20190102,600247.SH,*ST成城
20190102,600198.SH,*ST大唐
20190102,600202.SH,*ST哈空
20190102,600209.SH,*ST罗顿
20190102,600556.SH,ST慧球
20190102,600654.SH,ST中安
20190102,600608.SH,ST沪科
20190102,600610.SH,*ST毅达
20190102,600634.SH,*ST富控
20190102,600397.SH,*ST安煤
20190102,600399.SH,*ST抚钢
20190102,600421.SH,ST仰帆
20190102,600423.SH,*ST柳化
20190102,600408.SH,*ST安泰
20190102,600539.SH,*ST狮头
20190102,600074.SH,*ST保千
20190102,600091.SH,ST明科
20190102,600807.SH,*ST天业
20190102,600817.SH,ST宏盛
20190102,600896.SH,*ST海投
20190102,600871.SH,*ST油服
20190102,600877.SH,ST嘉陵
20190102,600870.SH,*ST厦华
20190102,600725.SH,ST云维
20190102,600701.SH,*ST工新
20190102,600696.SH,ST岩石
20190102,600767.SH,ST运盛
20190102,600778.SH,*ST友好
20190102,600732.SH,ST新梅
20190102,600747.SH,ST大控
20190102,600749.SH,*ST藏旅
20190102,601798.SH,*ST蓝科
20190102,601558.SH,ST锐电
20190102,002147.SZ,ST新光
20190102,002102.SZ,ST冠福
20190102,002122.SZ,*ST天马
20190102,002188.SZ,*ST巴士
20190102,002194.SZ,*ST凡谷
20190102,002018.SZ,*ST华信
20190102,000995.SZ,*ST皇台
20190102,002207.SZ,ST准油
20190102,002323.SZ,*ST百特
20190102,002427.SZ,*ST尤夫
20190102,002259.SZ,ST升达
20190102,002260.SZ,*ST德奥
20190102,002263.SZ,*ST东南
20190102,002306.SZ,*ST云网
20190102,000585.SZ,*ST东电
20190102,000655.SZ,*ST金岭
20190102,000048.SZ,*ST康达
20190102,000422.SZ,*ST宜化
20190102,000409.SZ,*ST地矿
20190102,000982.SZ,*ST中绒
20190102,000893.SZ,*ST东凌
20190102,000953.SZ,ST河化
20190102,000972.SZ,ST中基
20190102,000912.SZ,*ST天化
20190102,000939.SZ,*ST凯迪
20190102,000707.SZ,*ST双环
20190102,000720.SZ,*ST新能
20190102,000737.SZ,*ST南风
20190102,000816.SZ,*ST慧业
20190102,002570.SZ,*ST因美
20190102,002552.SZ,*ST宝鼎
