date,gpdm,gpmc
20190102,000953.SZ,ST河化
20190102,000972.SZ,ST中基
20190102,002102.SZ,ST冠福
20190102,002147.SZ,ST新光
20190102,002207.SZ,ST准油
20190102,002259.SZ,ST升达
20190102,002445.SZ,ST中南
20190102,002496.SZ,ST辉丰
20190102,600091.SH,ST明科
20190102,600149.SH,ST坊展
20190102,600234.SH,ST山水
20190102,600228.SH,ST昌九
20190102,600265.SH,ST景谷
20190102,600275.SH,ST昌鱼
20190102,600301.SH,ST南化
20190102,600421.SH,ST仰帆
20190102,600556.SH,ST慧球
20190102,600608.SH,ST沪科
20190102,600654.SH,ST中安
20190102,600696.SH,ST岩石
20190102,600725.SH,ST云维
20190102,600747.SH,ST大控
20190102,600732.SH,ST新梅
20190102,600767.SH,ST运盛
20190102,600817.SH,ST宏盛
20190102,600877.SH,ST嘉陵
20190102,601558.SH,ST锐电
20190108,601975.SH,ST长油
20190115,600462.SH,ST九有
20190123,002450.SZ,ST康得新
20190218,002086.SZ,ST东海洋
20190327,000670.SZ,ST盈方
20190328,600193.SH,ST创兴
20190328,600408.SH,ST安泰
20190328,002113.SZ,ST天润
20190328,000971.SZ,ST高升
20190329,000806.SZ,ST银河
20190401,600321.SH,ST正源
20190408,600399.SH,ST抚钢
20190408,600539.SH,ST狮头
20190408,002143.SZ,ST印纪
20190409,600870.SH,ST厦华
20190410,600891.SH,ST秋林
20190410,000752.SZ,ST西发
20190412,000820.SZ,ST节能
20190412,600687.SH,ST刚泰
20190416,000571.SZ,ST大洲
20190418,000737.SZ,ST南风
20190423,600807.SH,ST天业
20190424,601798.SH,ST蓝科
20190424,002711.SZ,ST欧浦
20190426,000707.SZ,ST双环
20190426,000422.SZ,ST宜化
20190426,600238.SH,ST椰岛
20190429,600615.SH,ST丰华
20190506,000981.SZ,ST银亿
20190507,600209.SH,ST罗顿
20190509,600247.SH,ST成城
20190521,600518.SH,ST康美
20190524,600112.SH,ST天成
20190528,002220.SZ,ST天宝
20190529,603996.SH,ST中新
20190529,002586.SZ,ST围海
20190604,002692.SZ,ST远程
20190619,600179.SH,ST安通
20190710,000816.SZ,ST慧业
20190716,603810.SH,ST丰山
20190801,002306.SZ,ST云网
20190812,600856.SH,ST中天
20190813,603188.SH,ST亚邦
20190821,000585.SZ,ST东电
20190903,600781.SH,ST辅仁
20190926,000409.SZ,ST地矿
20191009,601113.SH,ST华鼎
20191009,002716.SZ,ST金贵
