,SC,GPDM,SSDATE,GPLB
0,0,000001,19910403,深市主板A股
1,0,000002,19910129,深市主板A股
2,0,000004,19910114,深市主板A股
3,0,000005,19901210,深市主板A股
4,0,000006,19920427,深市主板A股
5,0,000007,19920413,深市主板A股
6,0,000008,19920507,深市主板A股
7,0,000009,19910625,深市主板A股
8,0,000010,19951027,深市主板A股
9,0,000011,19920330,深市主板A股
10,0,000012,19920228,深市主板A股
11,0,000014,19920602,深市主板A股
12,0,000016,19920327,深市主板A股
13,0,000017,19920331,深市主板A股
14,0,000018,19920616,深市主板A股
15,0,000019,19921012,深市主板A股
16,0,000020,19920428,深市主板A股
17,0,000021,19940202,深市主板A股
19,0,000023,19930429,深市主板A股
20,0,000024,19930607,深市主板A股
21,0,000025,19930621,深市主板A股
22,0,000026,19930603,深市主板A股
23,0,000027,19930903,深市主板A股
24,0,000028,19930809,深市主板A股
25,0,000029,19930915,深市主板A股
26,0,000030,19930929,深市主板A股
27,0,000031,19931008,深市主板A股
28,0,000032,19931028,深市主板A股
30,0,000034,19940509,深市主板A股
31,0,000035,19940408,深市主板A股
32,0,000036,19940617,深市主板A股
33,0,000037,19940701,深市主板A股
34,0,000038,19940808,深市主板A股
35,0,000039,19940408,深市主板A股
36,0,000040,19940808,深市主板A股
37,0,000042,19940921,深市主板A股
38,0,000043,19940928,深市主板A股
39,0,000045,19940815,深市主板A股
40,0,000046,19940912,深市主板A股
41,0,000048,19941101,深市主板A股
42,0,000049,19950320,深市主板A股
43,0,000050,19950315,深市主板A股
44,0,000055,19960415,深市主板A股
45,0,000056,19960708,深市主板A股
46,0,000058,19961226,深市主板A股
47,0,000059,19970130,深市主板A股
48,0,000060,19970123,深市主板A股
49,0,000061,19970110,深市主板A股
50,0,000062,19970130,深市主板A股
51,0,000063,19971118,深市主板A股
52,0,000065,19980605,深市主板A股
53,0,000066,19970626,深市主板A股
54,0,000068,19970611,深市主板A股
55,0,000069,19970910,深市主板A股
56,0,000070,20000511,深市主板A股
57,0,000078,19981218,深市主板A股
58,0,000088,19970728,深市主板A股
59,0,000089,19980420,深市主板A股
60,0,000090,19990721,深市主板A股
61,0,000096,20000724,深市主板A股
62,0,000099,20000731,深市主板A股
